epoch: 129 | Cost: 52.853 | Train/Valid Acc: 0.9849/0.9836
epoch: 130 | Cost: 52.053 | Train/Valid Acc: 0.9848/0.9824
epoch: 131 | Cost: 51.309 | Train/Valid Acc: 0.9826/0.9818
epoch: 132 | Cost: 50.585 | Train/Valid Acc: 0.9829/0.9816
epoch: 133 | Cost: 49.905 | Train/Valid Acc: 0.9842/0.9840
epoch: 134 | Cost: 49.259 | Train/Valid Acc: 0.9851/0.9826
epoch: 135 | Cost: 48.654 | Train/Valid Acc: 0.9843/0.9824
epoch: 136 | Cost: 48.072 | Train/Valid Acc: 0.9851/0.9826
epoch: 137 | Cost: 47.523 | Train/Valid Acc: 0.9850/0.9834
epoch: 138 | Cost: 47.003 | Train/Valid Acc: 0.9853/0.9826
epoch: 139 | Cost: 46.512 | Train/Valid Acc: 0.9846/0.9840
epoch: 140 | Cost: 46.040 | Train/Valid Acc: 0.9854/0.9834
epoch: 141 | Cost: 45.602 | Train/Valid Acc: 0.9850/0.9822
epoch: 142 | Cost: 45.181 | Train/Valid Acc: 0.9851/0.9826
epoch: 143 | Cost: 44.787 | Train/Valid Acc: 0.9848/0.9832
epoch: 144 | Cost: 44.414 | Train/Valid Acc: 0.9855/0.9830
epoch: 145 | Cost: 44.065 | Train/Valid Acc: 0.9854/0.9834
epoch: 146 | Cost: 43.724 | Train/Valid Acc: 0.9851/0.9830
epoch: 147 | Cost: 43.401 | Train/Valid Acc: 0.9857/0.9826
epoch: 148 | Cost: 43.095 | Train/Valid Acc: 0.9857/0.9828
epoch: 149 | Cost: 42.806 | Train/Valid Acc: 0.9855/0.9828
epoch: 150 | Cost: 42.531 | Train/Valid Acc: 0.9857/0.9836
epoch: 151 | Cost: 42.286 | Train/Valid Acc: 0.9851/0.9820
epoch: 152 | Cost: 42.036 | Train/Valid Acc: 0.9851/0.9828
epoch: 153 | Cost: 41.804 | Train/Valid Acc: 0.9852/0.9828
epoch: 154 | Cost: 41.582 | Train/Valid Acc: 0.9854/0.9832
epoch: 155 | Cost: 41.375 | Train/Valid Acc: 0.9852/0.9834
epoch: 156 | Cost: 41.177 | Train/Valid Acc: 0.9850/0.9822
epoch: 157 | Cost: 40.996 | Train/Valid Acc: 0.9830/0.9814
epoch: 158 | Cost: 40.826 | Train/Valid Acc: 0.9841/0.9826
epoch: 159 | Cost: 40.656 | Train/Valid Acc: 0.9851/0.9840
epoch: 160 | Cost: 40.492 | Train/Valid Acc: 0.9851/0.9814
epoch: 161 | Cost: 40.336 | Train/Valid Acc: 0.9861/0.9836
epoch: 162 | Cost: 40.202 | Train/Valid Acc: 0.9856/0.9828
epoch: 163 | Cost: 40.071 | Train/Valid Acc: 0.9845/0.9830
epoch: 164 | Cost: 39.933 | Train/Valid Acc: 0.9857/0.9820
epoch: 165 | Cost: 39.807 | Train/Valid Acc: 0.9854/0.9836
epoch: 166 | Cost: 39.686 | Train/Valid Acc: 0.9852/0.9828
epoch: 167 | Cost: 39.576 | Train/Valid Acc: 0.9853/0.9830
epoch: 168 | Cost: 39.474 | Train/Valid Acc: 0.9852/0.9836
epoch: 169 | Cost: 39.370 | Train/Valid Acc: 0.9860/0.9842
epoch: 170 | Cost: 39.276 | Train/Valid Acc: 0.9847/0.9826
